,Title,Authors/Co-Authors
1,`Numerical Investigations on Unsteady Detonation Flame Dynamics in a Rotating Detonation Engine <https://arc.aiaa.org/doi/abs/10.2514/6.2026-1968>`_,Je Ir Ryu
2,"`MedAraBench: Large-Scale Arabic Medical Question Answering Dataset and Benchmark <https://arxiv.org/pdf/2602.01714>`_","Farah E. Shamout"
3,"`Cross-Lingual Empirical Evaluation of Large Language Models for Arabic Medical Tasks <https://arxiv.org/pdf/2602.05374>`_","Farah E. Shamout"
4,"`GroundCount: Grounding Vision-Language Models with Object Detection for Mitigating Counting Hallucinations <https://arxiv.org/pdf/2603.10978>`_","Muhammad Shafique"
5,"`Structured Latent Dynamics in Wireless CSI via Homomorphic World Models <https://arxiv.org/pdf/2603.20048>`_","Marwa Chafii"
6,"`RAVEN: Retrieval-Augmented Vulnerability Exploration Network for Memory Corruption Analysis in User Code and Binary Programs <https://arxiv.org/pdf/2604.17948>`_","Muhammad Shafique"
7,"`Machine learning-based mechanics of TPMS architected materials driven by unit-cell geometric features <https://www.nature.com/articles/s44455-026-00026-9>`_","Nikolaos Karathanasopoulos"
